"","Date","box","Team","R","RA"
"314","Sunday, Apr 26","boxscore","CIN",2,5
"315","Monday, Apr 27","boxscore","CIN",9,6
"316","Tuesday, Apr 28","boxscore","CIN",4,2
"317","Wednesday, Apr 29","boxscore","CIN",3,8
"318","Thursday, Apr 30","boxscore","CIN",5,1
"319","Friday, May 1","boxscore","CIN",3,4
"320","Saturday, May 2","boxscore","CIN",8,4
"321","Sunday, May 3","boxscore","CIN",0,5
"322","Tuesday, May 5","boxscore","CIN",7,1
"323","Wednesday, May 6","boxscore","CIN",3,0
"324","Thursday, May 7","boxscore","CIN",2,7
"325","Saturday, May 9 (1)","boxscore","CIN",10,4
"326","Saturday, May 9 (2)","boxscore","CIN",2,8
"327","Sunday, May 10","boxscore","CIN",3,4
"328","Monday, May 11","boxscore","CIN",1,2
"329","Tuesday, May 12","boxscore","CIN",4,3
"330","Wednesday, May 13","boxscore","CIN",5,1
"331","Thursday, May 14","boxscore","CIN",4,3
"332","Friday, May 15","boxscore","CIN",2,10
"333","Saturday, May 16","boxscore","CIN",2,11
"334","Sunday, May 17","boxscore","CIN",8,9
"335","Tuesday, May 19","boxscore","CIN",0,3
"336","Wednesday, May 20","boxscore","CIN",1,7
"337","Friday, May 22","boxscore","CIN",3,7
"338","Saturday, May 23","boxscore","CIN",1,2
"339","Sunday, May 24","boxscore","CIN",2,5
"340","Monday, May 25","boxscore","CIN",4,5
"341","Tuesday, May 26","boxscore","CIN",2,1
"342","Wednesday, May 27","boxscore","CIN",4,6
"343","Friday, May 29","boxscore","CIN",5,2
"344","Saturday, May 30","boxscore","CIN",8,5
"345","Sunday, May 31","boxscore","CIN",8,2
"346","Monday, Apr 6","boxscore","CLE",0,2
"347","Wednesday, Apr 8","boxscore","CLE",2,0
"348","Thursday, Apr 9","boxscore","CLE",5,1
"349","Friday, Apr 10","boxscore","CLE",4,8
"350","Saturday, Apr 11","boxscore","CLE",6,9
"351","Sunday, Apr 12","boxscore","CLE",5,8
"352","Tuesday, Apr 14","boxscore","CLE",1,4
"353","Wednesday, Apr 15","boxscore","CLE",4,2
"354","Friday, Apr 17","boxscore","CLE",2,3
"355","Saturday, Apr 18","boxscore","CLE",4,2
"356","Sunday, Apr 19","boxscore","CLE",2,7
"357","Monday, Apr 20","boxscore","CLE",3,4
"358","Tuesday, Apr 21","boxscore","CLE",6,2
"359","Wednesday, Apr 22","boxscore","CLE",0,6
"360","Friday, Apr 24","boxscore","CLE",13,1
"361","Saturday, Apr 25","boxscore","CLE",1,4
"362","Sunday, Apr 26","boxscore","CLE",6,8
"363","Monday, Apr 27","boxscore","CLE",2,6
"364","Tuesday, Apr 28","boxscore","CLE",5,11
"365","Wednesday, Apr 29","boxscore","CLE",7,5
"366","Thursday, Apr 30","boxscore","CLE",1,5
"367","Friday, May 1","boxscore","CLE",9,4
"368","Saturday, May 2","boxscore","CLE",4,11
"369","Sunday, May 3","boxscore","CLE",10,7
"370","Tuesday, May 5","boxscore","CLE",3,5
"371","Wednesday, May 6","boxscore","CLE",10,3
"372","Thursday, May 7","boxscore","CLE",4,7
